cp	max_depth	mb	min_split	ganancia_promedio
-1	4	1	1000	117138000
-1	4	500	1000	120372000
-1	4	1	800	117138000
-1	4	400	800	120372000
-1	4	1	600	117138000
-1	4	300	600	120372000
-1	4	1	400	117138000
-1	4	200	400	120059333
-1	4	1	200	117138000
-1	4	100	200	119256667
-1	4	1	100	117138000
-1	4	50	100	117441333
-1	4	1	50	117138000
-1	4	25	50	118099333
-1	4	1	20	117138000
-1	4	10	20	117464667
-1	4	1	10	117138000
-1	4	5	10	117446000
-1	6	1	1000	140830667
-1	6	500	1000	147686000
-1	6	1	800	142837333
-1	6	400	800	146519333
-1	6	1	600	141964667
-1	6	300	600	146071333
-1	6	1	400	142328667
-1	6	200	400	149548000
-1	6	1	200	142254000
-1	6	100	200	153267333
-1	6	1	100	142254000
-1	6	50	100	149179333
-1	6	1	50	142254000
-1	6	25	50	146118000
-1	6	1	20	142254000
-1	6	10	20	143994667
-1	6	1	10	142090667
-1	6	5	10	143192000
-1	8	1	1000	146090000
-1	8	500	1000	149851333
-1	8	1	800	148031333
-1	8	400	800	147084000
-1	8	1	600	148712667
-1	8	300	600	147812000
-1	8	1	400	148638000
-1	8	200	400	150738000
-1	8	1	200	146990667
-1	8	100	200	151760000
-1	8	1	100	146864667
-1	8	50	100	151279333
-1	8	1	50	147074667
-1	8	25	50	153146000
-1	8	1	20	145903333
-1	8	10	20	150052000
-1	8	1	10	145208000
-1	8	5	10	148712667
-1	10	1	1000	152156667
-1	10	500	1000	148876000
-1	10	1	800	153911333
-1	10	400	800	144200000
-1	10	1	600	154980000
-1	10	300	600	147060667
-1	10	1	400	154513333
-1	10	200	400	148927333
-1	10	1	200	150990000
-1	10	100	200	140368667
-1	10	1	100	150000667
-1	10	50	100	138082000
-1	10	1	50	150192000
-1	10	25	50	143322667
-1	10	1	20	148003333
-1	10	10	20	141829333
-1	10	1	10	142296000
-1	10	5	10	145301333
-1	12	1	1000	153874000
-1	12	500	1000	148787333
-1	12	1	800	155712667
-1	12	400	800	142305333
-1	12	1	600	156571333
-1	12	300	600	144386667
-1	12	1	400	156898000
-1	12	200	400	146062000
-1	12	1	200	152707333
-1	12	100	200	134316000
-1	12	1	100	152338667
-1	12	50	100	128949333
-1	12	1	50	152254667
-1	12	25	50	129098667
-1	12	1	20	146020000
-1	12	10	20	127451333
-1	12	1	10	137582667
-1	12	5	10	123806667
-1	14	1	1000	146505333
-1	14	500	1000	148787333
-1	14	1	800	148320667
-1	14	400	800	142650667
-1	14	1	600	148759333
-1	14	300	600	144106667
-1	14	1	400	147882000
-1	14	200	400	142408000
-1	14	1	200	145492667
-1	14	100	200	127190000
-1	14	1	100	142814000
-1	14	50	100	114907333
-1	14	1	50	141404667
-1	14	25	50	110460000
-1	14	1	20	132388667
-1	14	10	20	108103333
-1	14	1	10	121912000
-1	14	5	10	102998000
0.01	4	1	1000	0
0.01	4	500	1000	0
0.01	4	1	800	0
0.01	4	400	800	0
0.01	4	1	600	0
0.01	4	300	600	0
0.01	4	1	400	0
0.01	4	200	400	0
0.01	4	1	200	0
0.01	4	100	200	0
0.01	4	1	100	0
0.01	4	50	100	0
0.01	4	1	50	0
0.01	4	25	50	0
0.01	4	1	20	0
0.01	4	10	20	0
0.01	4	1	10	0
0.01	4	5	10	0
0.01	6	1	1000	0
0.01	6	500	1000	0
0.01	6	1	800	0
0.01	6	400	800	0
0.01	6	1	600	0
0.01	6	300	600	0
0.01	6	1	400	0
0.01	6	200	400	0
0.01	6	1	200	0
0.01	6	100	200	0
0.01	6	1	100	0
0.01	6	50	100	0
0.01	6	1	50	0
0.01	6	25	50	0
0.01	6	1	20	0
0.01	6	10	20	0
0.01	6	1	10	0
0.01	6	5	10	0
0.01	8	1	1000	0
0.01	8	500	1000	0
0.01	8	1	800	0
0.01	8	400	800	0
0.01	8	1	600	0
0.01	8	300	600	0
0.01	8	1	400	0
0.01	8	200	400	0
0.01	8	1	200	0
0.01	8	100	200	0
0.01	8	1	100	0
0.01	8	50	100	0
0.01	8	1	50	0
0.01	8	25	50	0
0.01	8	1	20	0
0.01	8	10	20	0
0.01	8	1	10	0
0.01	8	5	10	0
0.01	10	1	1000	0
0.01	10	500	1000	0
0.01	10	1	800	0
0.01	10	400	800	0
0.01	10	1	600	0
0.01	10	300	600	0
0.01	10	1	400	0
0.01	10	200	400	0
0.01	10	1	200	0
0.01	10	100	200	0
0.01	10	1	100	0
0.01	10	50	100	0
0.01	10	1	50	0
0.01	10	25	50	0
0.01	10	1	20	0
0.01	10	10	20	0
0.01	10	1	10	0
0.01	10	5	10	0
0.01	12	1	1000	0
0.01	12	500	1000	0
0.01	12	1	800	0
0.01	12	400	800	0
0.01	12	1	600	0
0.01	12	300	600	0
0.01	12	1	400	0
0.01	12	200	400	0
0.01	12	1	200	0
0.01	12	100	200	0
0.01	12	1	100	0
0.01	12	50	100	0
0.01	12	1	50	0
0.01	12	25	50	0
0.01	12	1	20	0
0.01	12	10	20	0
0.01	12	1	10	0
0.01	12	5	10	0
0.01	14	1	1000	0
0.01	14	500	1000	0
0.01	14	1	800	0
0.01	14	400	800	0
0.01	14	1	600	0
0.01	14	300	600	0
0.01	14	1	400	0
0.01	14	200	400	0
0.01	14	1	200	0
0.01	14	100	200	0
0.01	14	1	100	0
0.01	14	50	100	0
0.01	14	1	50	0
0.01	14	25	50	0
0.01	14	1	20	0
0.01	14	10	20	0
0.01	14	1	10	0
0.01	14	5	10	0
